Key,File,Type,UsedInMainMenu,NoTranslate,english,german
tier6_flogi_raze_name,Quest,Quest Info,,,Tier 6 Raze Infested Building,Tier 6 Zerstört infiziertes Gebäude
flogi_raze_subtitle,Quest,Quest Info,,,Raze Infested Building!,Zerstört das infizierte Gebäude
flogi_raze_description,Quest,Quest Info,,,The super infested POI is located. Raze it to the ground!,Der Sprengstoff ist beschafft. Geht zu dem super infizierten Gebäude und lasst keinen Stein auf dem anderen!
flogi_raze_offer,Quest,Quest Info,,,The super infested POI is located. Raze it to the ground!,Der Sprengstoff ist beschafft. Geht zu dem super infizierten Gebäude und lasst keinen Stein auf dem anderen!
flogi_raze_statement,Quest,Quest Info,,,Raze Infested Building!,Zerstört das infizierte Gebäude
flogi_raze_response,Quest,Quest Info,,,Raze Infested Building ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-]),Zerstört das infizierte Gebäude ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-])
flogi_raze_completion,Quest,Quest Info,,,Thanks for razing that POI to the ground. We are a lot safer now!,Uff. Danke das du dieses Haus zerstört hast. Wir sind nun erheblich sicherer.
tier1_flogi_desperate_defence_name,Quest,Quest Info,,,Tier 1 Desperate Defence,Tier 1 Verzweifelte Verteidigung
tier2_flogi_desperate_defence_name,Quest,Quest Info,,,Tier 2 Desperate Defence,Tier 2 Verzweifelte Verteidigung
tier3_flogi_desperate_defence_name,Quest,Quest Info,,,Tier 3 Desperate Defence,Tier 3 Verzweifelte Verteidigung
tier4_flogi_desperate_defence_name,Quest,Quest Info,,,Tier 4 Desperate Defence,Tier 4 Verzweifelte Verteidigung
tier5_flogi_desperate_defence_name,Quest,Quest Info,,,Tier 5 Desperate Defence,Tier 5 Verzweifelte Verteidigung
tier6_flogi_desperate_defence_name,Quest,Quest Info,,,Tier 6 Desperate Defence,Tier 6 Verzweifelte Verteidigung
flogi_desperate_defence_subtitle,Quest,Quest Info,,,Desperate Defence!,Verzweifelte Verteidigung
flogi_desperate_defence_description,Quest,Quest Info,,,We have identified a horde approaching our position. Get to that POI clear it and then hold the line. We need to stop them there or they might overrun us all.,Wir haben eine riesige Horde identifiziert, die auf uns zumarschiert. Befestigt dieses Haus und haltet sie auf! Bis zum letzten Mann!
flogi_desperate_defence_offer,Quest,Quest Info,,,We have identified a horde approaching our position. Get to that POI clear it and then hold the line. We need to stop them there or they might overrun us all.,Wir haben eine riesige Horde identifiziert die auf uns zumarschiert. Befestigt dieses Haus und haltet sie auf! Bis zum letzten Mann!
flogi_desperate_defence_statement,Quest,Quest Info,,,Desperate Defence!,Verzweifelte Verteidigung
flogi_desperate_defence_response,Quest,Quest Info,,,Desperate Defence ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-]),Verzweifelte Verteidigung ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-])
flogi_desperate_defence_completion,Quest,Quest Info,,,Wow that was a close call! Thanks for holding out. I really would've missed you.,Wow das war ein knappes Ding. Gut das du ausgehalten hast. Ich hätte dich wirklich vermisst wenn du es nicht geschafft hättest.
thrownQuestBomb,items,Gun,New,,POI Breaker Bomb,Hauszerstörer 3000
thrownQuestBombDesc,items,Gun,New,,The POI Breaker Bomb will explode 30 seconds after being placed. Get your ass out of here.,Der Hauszerstörer 3000 wird 30 nachdem er platziert wurde explodieren. Bringt euren Hintern in Sicherheit!
flogi_block_bomb,blocks,Gun,New,,Barrel of Dynamite,Fass voll Dynamit
flogi_bomb_block_desc,items,Gun,,New,This will even enhance the POI Breaker Bombs power,Dieser Sprengstoff wird die Zerstörungskraft des Hauszerstörers 3000 noch potenzieren.
